# xout	st_am	st_am2	st_am3	st_am4	st_am5	st_am6	st_am7	st_am8	st_am9	st_atm	st_atm2
      1.0000000     -0.0488060     -0.2126608     -0.6335894     -0.7134420     -0.6197763     -0.4718587     -0.3298288     -0.6270252     -0.0772078     -0.4258262      1.3082514
      1.0832570     -0.0384881     -0.2084035     -0.6267396     -0.7060744     -0.6134268     -0.4669857     -0.3263437     -0.6206082     -0.0693467     -0.4209679      1.3122675
      1.1665139     -0.0281703     -0.2041462     -0.6198897     -0.6987069     -0.6070772     -0.4621126     -0.3228586     -0.6141912     -0.0614855     -0.4161097      1.3162838
      1.2497708     -0.0178524     -0.1998888     -0.6130400     -0.6913392     -0.6007276     -0.4572395     -0.3193735     -0.6077741     -0.0536243     -0.4112513      1.3203001
      1.3330277     -0.0075346     -0.1956314     -0.6061901     -0.6839716     -0.5943780     -0.4523664     -0.3158885     -0.6013571     -0.0457631     -0.4063931      1.3243163
      1.4162847      0.0027832     -0.1913741     -0.5993403     -0.6766041     -0.5880285     -0.4474934     -0.3124035     -0.5949401     -0.0379020     -0.4015348      1.3283324
      1.4995416      0.0131010     -0.1871168     -0.5924906     -0.6692366     -0.5816789     -0.4426203     -0.3089184     -0.5885231     -0.0300409     -0.3966765      1.3323486
      1.5827986      0.0234190     -0.1828594     -0.5856407     -0.6618689     -0.5753292     -0.4377472     -0.3054333     -0.5821061     -0.0221796     -0.3918182      1.3363649
      1.6660554      0.0337368     -0.1786021     -0.5787908     -0.6545014     -0.5689797     -0.4328742     -0.3019483     -0.5756890     -0.0143185     -0.3869599      1.3403811
      1.7493124      0.0440545     -0.1743447     -0.5719410     -0.6471338     -0.5626301     -0.4280011     -0.2984632     -0.5692720     -0.0064573     -0.3821017      1.3443973
      1.8325694      0.0543723     -0.1700874     -0.5650913     -0.6397663     -0.5562805     -0.4231281     -0.2949782     -0.5628550      0.0014038     -0.3772434      1.3484135
      1.9158263      0.0646902     -0.1658300     -0.5582412     -0.6323986     -0.5499309     -0.4182550     -0.2914931     -0.5564380      0.0092651     -0.3723851      1.3524297
      1.9990833      0.0750080     -0.1615727     -0.5513915     -0.6250311     -0.5435814     -0.4133819     -0.2880081     -0.5500209      0.0171262     -0.3675268      1.3564459
