icm	trans	
5.02558	1.00793	
5.076343	1.01044	 
5.127106	1.0092	
5.177869	1.00227	
5.228632	0.99859	
5.279395	1.00043	
5.330158	0.99694	
5.380921	1.00047	
5.431684	1.00002	
5.482447	0.99558	
5.53321	1.0065	
5.583973	1.01776	
5.634736	1.01612	
5.685499	1.01674	
5.736262	1.01035	
5.787025	1.01263
5.837788	1.01534
5.888551	1.00606
5.939314	1.01227
5.990077	1.01352
6.04084	1.00747
6.091603	1.01543
6.142366	1.01267
6.193129	1.00982
6.243892	1.01214
6.294655	1.00277
6.345418	1.0072
6.396181	1.01057
6.446944	1.008
6.497707	1.00926
6.54847	0.99574
6.599233	0.98962
6.649996	1.0006
6.700759	1.00457
6.751522	0.99698
6.802285	0.9956
6.853048	0.99219
6.903811	0.99454
6.954574	1.00572
7.005337	1.00678
7.0561	1.00168
7.106863	0.99714
7.157626	0.99367
7.208389	0.99735
7.259152	1.00462
7.309915	1.0006
7.360678	0.99577
7.411441	0.99486
7.462204	0.9968
7.512967	0.99987
7.56373	0.99929
7.614493	0.99743
7.665256	0.99588
7.716019	0.99536
7.766782	0.99788
7.817545	0.99935
7.868308	1.0007
7.919071	1.00014
7.969834	0.99776
8.020597	1.00105
8.07136	1.00375
8.122123	1.00086
8.172886	0.9995
8.223649	1.00131
8.274412	0.99966
8.325175	1.00277
8.375938	1.00287
8.426701	0.99863
8.477464	0.9994
8.528227	0.99988
8.57899	0.9979
8.629753	0.99734
8.680516	0.99554
8.731279	0.99657
8.782042	0.99985
8.832805	1.00046
8.883568	1.00022
8.934331	0.99627
8.985094	0.99631
9.035857	0.99896
9.08662	1.00023
9.137383	1.00162
9.188146	1.00373
9.238909	0.99982
9.289672	0.99514
9.340435	0.9991
9.391198	0.99882
9.441961	0.99976
9.492724	1.00478
9.543487	1.00105
9.59425	1.00064
9.645013	1.00273
9.695776	1.00283
9.746539	1.00299
9.797302	1.00079
9.848065	1.00051
9.898828	0.99999
9.949591	0.99982
10.000354	1.00086
10.051117	0.99955
10.10188	0.99621
10.152643	0.99559
10.203406	0.99809
10.254169	0.99845
10.304932	0.99841
10.355695	0.99858
10.406458	0.99808
10.457221	0.99746
10.507984	0.99669
10.558747	0.99676
10.60951	0.99705
10.660273	0.99731
10.711036	0.99791
10.761799	0.99703
10.812562	0.99529
10.863325	0.99601
10.914088	0.99844
10.964851	0.99545
11.015614	0.99521
11.066377	0.99748
11.11714	0.99639
11.167903	0.99579
11.218666	0.9959
11.269429	0.99834
11.320192	0.99894
11.370955	0.9974
11.421718	0.99604
11.472481	0.99606
11.523244	0.99511
11.574007	0.99266
11.62477	0.99558
11.675533	0.99947
11.726296	0.99721
11.777059	0.99694
11.827822	0.9968
11.878585	0.99516
11.929348	0.99368
11.980111	0.99186
12.030874	0.99293
12.081637	0.99264
12.1324	0.99246
12.183163	0.99573
12.233926	0.99633
12.284689	0.98976
12.335452	0.98889
12.386215	0.99428
12.436978	0.99516
12.487741	0.99671
12.538504	0.99404
12.589267	0.99278
12.64003	0.99784
12.690793	0.99776
12.741556	0.9932
12.792319	0.99143
12.843082	0.99175
12.893845	0.99425
12.944608	0.99321
12.995371	0.99026
13.046134	0.99007
13.096897	0.99094
13.14766	0.99256
13.198423	0.99212
13.249186	0.99316
13.299949	0.99219
13.350712	0.98862
13.401475	0.98794
13.452238	0.99044
13.503001	0.99291
13.553764	0.99389
13.604527	0.99166
13.65529	0.98808
13.706053	0.98818
13.756816	0.98896
13.807579	0.99146
13.858342	0.99351
13.909105	0.99091
13.959868	0.99073
14.010631	0.992
14.061394	0.98995
14.112157	0.99286
14.16292	0.99046
14.213683	0.9871
14.264446	0.99171
14.315209	0.99112
14.365972	0.9913
14.416735	0.9921
14.467498	0.98671
14.518261	0.98431
14.569024	0.98845
14.619787	0.99164
14.67055	0.99551
14.721313	0.99351
14.772076	0.98896
14.822839	0.99027
14.873602	0.99027
14.924365	0.99007
14.975128	0.99181
15.025891	0.98943
15.076654	0.98768
15.127417	0.99044
15.17818	0.99337
15.228943	0.99243
15.279706	0.99097
15.330469	0.98943
15.381232	0.98914
15.431995	0.99022
15.482758	0.99191
15.533521	0.99122
15.584284	0.98844
15.635047	0.98727
15.68581	0.98704
15.736573	0.98771
15.787336	0.98852
15.838099	0.98973
15.888862	0.98706
15.939625	0.98271
15.990388	0.98364
16.041151	0.98662
16.091914	0.98751
16.142677	0.98874
16.19344	0.98841
16.244203	0.9863
16.294966	0.98634
16.345729	0.9862
16.396492	0.98695
16.447255	0.98873
16.498018	0.98856
16.548781	0.98815
16.599544	0.98548
16.650307	0.98424
16.70107	0.98246
16.751833	0.98358
16.802596	0.98761
16.853359	0.98887
16.904122	0.98827
16.954885	0.98562
17.005648	0.98305
17.056411	0.98307
17.107174	0.9846
17.157937	0.98609
17.2087	0.98687
17.259463	0.98548
17.310226	0.9849
17.360989	0.98476
17.411752	0.9853
17.462515	0.98533
17.513278	0.98544
17.564041	0.98449
17.614804	0.9833
17.665567	0.9859
17.71633	0.98758
17.767093	0.98555
17.817856	0.98398
17.868619	0.98336
17.919382	0.98287
17.970145	0.98296
18.020908	0.98412
18.071671	0.9853
18.122434	0.98525
18.173197	0.98399
18.22396	0.98394
18.274723	0.98454
18.325486	0.98357
18.376249	0.98344
18.427012	0.98383
18.477775	0.98458
