icm	trans
2.03054	1.0093637
2.081303	1.0146258
2.132066	1.0128381
2.182829	1.0078285
2.233592	1.0021725
2.284355	1.0127775
2.335118	1.0198879
2.385881	1.0249581
2.436644	1.0131007
2.487407	1.0084143
2.53817	1.0100909
2.588933	1.0059499
2.639696	1.012323
2.690459	1.0087678
2.741222	1.0031623
2.791985	1.000304
2.842748	1.0065357
2.893511	1.0038188
2.944274	1.0014655
2.995037	1.0012534
3.0458	1.0114342
3.096563	1.0207262
3.147326	1.009495
3.198089	1.0038289
3.248852	1.0040208
3.299615	1.0054651
3.350378	0.9944662
3.401141	1.0002737
3.451904	1.0107171
3.502667	1.0158378
3.55343	1.011515
3.604193	1.0035158
3.654956	1.0045056
3.705719	1.0076366
3.756482	1.0062428
3.807245	1.0009201
3.858008	1.0107575
3.908771	1.0149086
3.959534	1.0105959
4.010297	0.9942137
4.06106	0.9885981
4.111823	1.0006575
4.162586	1.0043844
4.213349	1.0064246
4.264112	1.0104848
4.314875	1.0159792
4.365638	1.0111716
4.416401	0.9972033
4.467164	0.9853661
4.517927	0.9994859
4.56869	1.0055762
4.619453	0.9972336
4.670216	0.9990415
4.720979	0.9962438
4.771742	0.9998798
4.822505	0.998082
4.873268	0.9996778
4.924031	1.0028997
4.974794	1.0009302
5.025557	1.0013544
5.07632	0.9957792
5.127083	0.9957489
5.177846	0.9965468
5.228609	0.9976881
5.279372	0.9974053
5.330135	0.9999303
5.380898	1.0013948
5.431661	0.997577
5.482424	1.0008191
5.533187	1.0021119
5.58395	0.9983143
5.634713	0.9961125
5.685476	0.9971528
5.736239	0.9944157
5.787002	0.9933451
5.837765	0.9979002
5.888528	1.0025361
5.939291	1.0000919
5.990054	0.9959711
6.040817	0.995961
6.09158	0.9995263
6.142343	0.9967084
6.193106	0.9962842
6.243869	1.0011019
6.294632	0.9972942
6.345395	0.9937794
6.396158	0.9879618
6.446921	0.9913453
6.497684	0.9971326
6.548447	1.0003949
6.59921	1.0011221
6.649973	1.0045864
6.700736	1.0021018
6.751499	0.9966882
6.802262	0.9927189
6.853025	0.9876588
6.903788	0.9955065
6.954551	1.0000919
7.005314	0.9995263
7.056077	0.9960519
7.10684	0.9951025
7.157603	0.9963145
7.208366	0.9931532
7.259129	0.9913554
7.309892	0.9911332
7.360655	0.9960418
7.411418	0.994345
7.462181	0.9927593
7.512944	0.9903858
7.563707	0.9901232
7.61447	0.9933552
7.665233	0.9907191
7.715996	0.994648
7.766759	0.9946682
7.817522	0.9966478
7.868285	0.9954964
7.919048	0.9933552
7.969811	0.9933047
8.020574	0.9888203
8.071337	0.987881
8.1221	0.9869821
8.172863	0.9882547
8.223626	0.988891
8.274389	0.9904363
8.325152	0.9904969
8.375915	0.9930825
8.426678	0.9919614
8.477441	0.991214
8.528204	0.9941127
8.578967	0.9915675
8.62973	0.9881638
8.680493	0.9861539
8.731256	0.9862448
8.782019	0.9853661
8.832782	0.9854267
8.883545	0.9873659
8.934308	0.9926482
8.985071	0.9921129
9.035834	0.9884567
9.086597	0.9854671
9.13736	0.984649
9.188123	0.9839016
9.238886	0.9835481
9.289649	0.9856388
9.340412	0.9877396
9.391175	0.9883254
9.441938	0.9835683
