icm	trans
8.06452	0.984
8.190528	0.98
8.316536	0.976
8.442544	0.98389
8.568552	0.97674
8.69456	0.985
8.820568	0.984
8.946576	0.977
9.072584	0.976
9.198592	0.96585
9.3246	0.96673
9.450608	0.976
9.576616	0.97
9.702624	0.98181
9.828632	1.00641
9.95464	1.006
10.080648	0.97449
10.206656	0.967
10.332664	0.95941
10.458672	0.973
10.58468	0.967
10.710688	0.95905
10.836696	0.987
10.962704	0.981
11.088712	0.99
11.21472	1.01032
11.340728	0.998
11.466736	0.985
11.592744	0.984
11.718752	1.0107
11.84476	1.00466
11.970768	0.998
12.096776	1.0045
12.222784	0.98959
12.348792	0.98158
12.4748	0.97905
12.600808	0.99159
12.726816	0.99312
12.852824	0.99316
12.978832	0.98899
13.10484	0.97601
13.230848	0.9659
13.356856	0.96289
13.482864	0.95954
13.608872	0.95888
13.73488	0.96702
13.860888	0.97484
13.986896	0.96876
14.112904	0.96678
14.238912	0.97779
14.36492	0.97168
14.490928	0.95241
14.616936	0.96066
14.742944	0.98114
14.868952	0.97269
14.99496	0.97372
15.120968	0.98438
15.246976	0.96818
15.372984	0.95688
15.498992	0.96835
15.625	0.96949
15.751008	0.96553
15.877016	0.96637
16.003024	0.96864
16.129032	0.97005
16.25504	0.96426
16.381048	0.96126
16.507056	0.96453
16.633064	0.96236
16.759072	0.96363
16.88508	0.97452
17.011088	0.97772
17.137096	0.96764
17.263104	0.9604
17.389112	0.96607
17.51512	0.96501
17.641128	0.96519
17.767136	0.97358
17.893144	0.96532
18.019152	0.95641
18.14516	0.96387
18.271168	0.96847
18.397176	0.96152
18.523184	0.96074
18.649192	0.96157
18.7752	0.96006
18.901208	0.96287
19.027216	0.96383
19.153224	0.96499
19.279232	0.96702
19.40524	0.96708
19.531248	0.96292
19.657256	0.95813
19.783264	0.9497
19.909272	0.94604
20.03528	0.95186
20.161288	0.96092
20.287296	0.96412
20.413304	0.95422
20.539312	0.947
20.66532	0.94842
20.791328	0.95033
20.917336	0.95368
21.043344	0.93604
21.169352	0.93819
21.29536	0.95269
21.421368	0.93757
21.547376	0.92892
21.673384	0.93384
21.799392	0.94601
21.9254	0.95092
22.051408	0.9584
22.177416	0.95229
22.303424	0.9364
22.429432	0.94138
22.55544	0.94324
22.681448	0.93089
22.807456	0.93358
22.933464	0.94545
23.059472	0.93997
23.18548	0.93027
23.311488	0.93108
23.437496	0.92814
23.563504	0.91812
23.689512	0.91615
23.81552	0.92255
23.941528	0.92734
24.067536	0.93215
24.193544	0.93396
24.319552	0.93155
24.44556	0.92034
24.571568	0.93042
24.697576	0.938
24.823584	0.92029
24.949592	0.91601
25.0756	0.9141
25.201608	0.91422
25.327616	0.91362
25.453624	0.90513
25.579632	0.89875
25.70564	0.89901
25.831648	0.89991
25.957656	0.90413
26.083664	0.91042
26.209672	0.91177
26.33568	0.90615
26.461688	0.90403
26.587696	0.89315
26.713704	0.88528
26.839712	0.89635
26.96572	0.90096
27.091728	0.90011
27.217736	0.903
27.343744	0.90157
27.469752	0.8953
27.59576	0.89049
27.721768	0.88482
27.847776	0.89007
27.973784	0.90563
28.099792	0.90215
28.2258	0.88737
28.351808	0.88004
28.477816	0.89271
28.603824	0.90695
28.729832	0.90315
