	Thermal filter C8 P13678/C8 P13661 1.5M 100nm Cu                                								
5.02558	1.01097								
5.076343	1.00626								
5.127106	1.00835								
5.177869	1.00642								
5.228632	1.00603								
5.279395	1.00747								
5.330158	1.00843								
5.380921	1.00794								
5.431684	0.99796								
5.482447	0.99653								
5.53321	0.99989								
5.583973	0.99492								
5.634736	0.99546								
5.685499	0.99694								
5.736262	0.99656								
5.787025	1.0003								
5.837788	1.00532								
5.888551	1.00993								
5.939314	1.01018								
5.990077	1.00909								
6.04084	1.00967								
6.091603	1.0074								
6.142366	1.00245								
6.193129	1.00455								
6.243892	1.00979								
6.294655	1.01066								
6.345418	1.00535								
6.396181	1.00292								
6.446944	1.00583								
6.497707	1.00519								
6.54847	0.99978								
6.599233	0.99525								
6.649996	0.99487								
6.700759	0.99609								
6.751522	0.99758								
6.802285	0.99916								
6.853048	1.0011								
6.903811	1.00224								
6.954574	1.00208								
7.005337	1.00135								
7.0561	1.00293								
7.106863	1.00559								
7.157626	1.00625								
7.208389	1.00497								
7.259152	1.00143								
7.309915	0.99817								
7.360678	0.99934								
7.411441	0.99943								
7.462204	0.99629								
7.512967	0.99442								
7.56373	0.99565								
7.614493	0.99556								
7.665256	0.99657								
7.716019	0.99778								
7.766782	0.99675								
7.817545	0.9984								
7.868308	0.99793								
7.919071	0.99787								
7.969834	0.99948								
8.020597	0.99926								
8.07136	1.00053								
8.122123	1.00025								
8.172886	0.99793								
8.223649	0.99628								
8.274412	0.99561								
8.325175	0.99517								
8.375938	0.99557								
8.426701	0.99593								
8.477464	0.995								
8.528227	0.99777								
8.57899	1.0002								
8.629753	0.99828								
8.680516	0.99659								
8.731279	0.99799								
8.782042	1.00039								
8.832805	1.00262								
8.883568	1.00112								
8.934331	0.99875								
8.985094	0.99926								
9.035857	0.99897								
9.08662	0.99918								
9.137383	1.00101								
9.188146	1.00229								
9.238909	1.00046								
9.289672	0.99697								
9.340435	0.99664								
9.391198	0.99871								
9.441961	1.00111								
9.492724	1.00242								
9.543487	1.00202								
9.59425	1.00023								
9.645013	0.99923								
9.695776	1.00028								
9.746539	0.99968								
9.797302	0.99862								
9.848065	0.99975								
9.898828	0.99924								
9.949591	0.9978								
10.000354	0.99659								
10.051117	0.99645								
10.10188	0.99736								
10.152643	0.99729								
10.203406	0.99802								
10.254169	0.9983								
10.304932	0.99888								
10.355695	1.0007								
10.406458	1.00064								
10.457221	0.99969								
10.507984	1.00026								
10.558747	0.99973								
10.60951	0.99932								
10.660273	0.99771								
10.711036	0.99571								
10.761799	0.9949								
10.812562	0.99589								
10.863325	0.99765								
10.914088	0.99636								
10.964851	0.99616								
11.015614	0.99513								
11.066377	0.99631								
11.11714	0.99862								
11.167903	0.99868								
11.218666	0.99997								
11.269429	1.00092								
11.320192	1.00086								
11.370955	1.00195								
11.421718	1.00256								
11.472481	1.00114								
11.523244	0.99987								
11.574007	0.99791								
11.62477	0.99715								
11.675533	0.99886								
11.726296	0.99913								
11.777059	0.99651								
11.827822	0.99573								
11.878585	0.99414								
11.929348	0.99303								
11.980111	0.99637								
12.030874	0.99728								
12.081637	0.99591								
12.1324	0.99818								
12.183163	0.99864								
12.233926	0.998								
12.284689	1.00123								
12.335452	1.0014								
12.386215	0.99999								
12.436978	1.00115								
12.487741	0.99965								
12.538504	0.99813								
12.589267	0.99998								
12.64003	0.99947								
12.690793	0.99713								
12.741556	0.99461								
12.792319	0.9913								
12.843082	0.99084								
12.893845	0.99424								
12.944608	0.99576								
12.995371	0.99722								
13.046134	0.99755								
13.096897	0.99932								
