icm	trans
2.01613	0.83220
2.04133	0.83000
2.06653	0.82719
2.09174	0.82611
2.11694	0.83195
2.14214	0.83932
2.16734	0.83838
2.19254	0.84197
2.21775	0.84829
2.24295	0.85970
2.26815	0.87007
2.29335	0.88063
2.31855	0.89000
2.34376	0.89770
2.36896	0.90896
2.39416	0.91770
2.41936	0.92539
2.44456	0.94140
2.46977	0.95430
2.49497	0.95910
2.52017	0.96639
2.54537	0.97190
2.57057	0.97517
2.59578	0.98045
2.62098	0.98587
2.64618	0.98908
2.67138	0.99007
2.69658	0.99010
2.72179	0.98873
2.74699	0.98611
2.77219	0.98308
2.79739	0.97715
2.82259	0.97048
2.84780	0.96585
2.87300	0.95961
2.89820	0.94914
2.92340	0.94221
2.94860	0.93494
2.97381	0.92834
2.99901	0.92176
3.02421	0.91394
3.04941	0.90725
3.07461	0.90271
3.09982	0.89617
3.12502	0.89008
3.15022	0.88636
3.17542	0.88535
3.20062	0.88531
3.22583	0.88141
3.25103	0.88101
3.27623	0.88457
3.30143	0.88522
3.32663	0.88264
3.35184	0.88339
3.37704	0.88559
3.40224	0.89103
3.42744	0.89841
3.45264	0.90545
3.47785	0.90907
3.50305	0.91444
3.52825	0.92392
3.55345	0.93189
3.57865	0.93508
3.60386	0.94434
3.62906	0.95664
3.65426	0.96326
3.67946	0.96917
3.70466	0.97380
3.72987	0.97902
3.75507	0.98254
3.78027	0.98361
3.80547	0.98423
3.83067	0.98229
3.85588	0.97991
3.88108	0.97528
3.90628	0.97126
3.93148	0.96889
3.95668	0.96117
3.98189	0.95271
4.01031	0.94843
4.06107	0.93595
4.11183	0.91641
4.16260	0.90155
4.21336	0.88967
4.26412	0.87529
4.31489	0.86442
4.36565	0.85545
4.41641	0.84768
4.46717	0.84449
4.51794	0.84631
4.56870	0.85135
4.61946	0.85929
4.67023	0.87167
4.72099	0.88596
4.77175	0.90052
4.82252	0.91770
4.87328	0.93584
4.92404	0.95040
4.97480	0.96331
5.02557	0.97431
5.07633	0.98046
5.12709	0.98197
5.17786	0.97884
5.22862	0.97134
5.27938	0.96035
5.33015	0.94727
5.38091	0.93286
5.43167	0.91738
5.48243	0.90323
5.53320	0.89203
5.58396	0.88343
5.63472	0.87761
5.68549	0.87440
5.73625	0.87309
5.78701	0.87499
5.83778	0.88133
5.88854	0.88880
5.93930	0.89783
5.99006	0.90930
6.04083	0.92186
6.09159	0.93497
6.14235	0.94721
6.19312	0.95898
6.24388	0.96797
6.29464	0.97359
6.34541	0.97691
6.39617	0.97703
6.44693	0.97359
6.49769	0.96852
6.54846	0.96297
6.59922	0.95561
6.64998	0.94776
6.70075	0.94134
6.75151	0.93579
6.80227	0.93212
6.85304	0.93078
6.90380	0.93122
6.95456	0.93300
7.00532	0.93707
7.05609	0.94298
7.10685	0.94929
7.15761	0.95567
7.20838	0.96170
7.25914	0.96713
7.30990	0.97179
7.36067	0.97462
7.41143	0.97464
7.46219	0.97256
7.51295	0.96844
7.56372	0.96258
7.61448	0.95604
7.66524	0.94924
7.71601	0.94267
7.76677	0.93732
7.81753	0.93296
7.86830	0.92983
7.91906	0.92862
7.96982	0.92926
8.02058	0.93193
8.07135	0.93640
8.12211	0.94217
8.17287	0.94851
8.22364	0.95491
8.27440	0.96015
8.32516	0.96384
8.37593	0.96566
8.42669	0.96500
8.47745	0.96112
8.52821	0.95453
8.57898	0.94611
8.62974	0.93591
8.68050	0.92514
8.73127	0.91456
8.78203	0.90448
8.83279	0.89558
8.88356	0.88865
8.93432	0.88447
8.98508	0.88376
9.03584	0.88636
9.08661	0.89238
9.13737	0.90170
9.18813	0.91259
9.23890	0.92380
9.28966	0.93474
9.34042	0.94392
9.39119	0.95050
9.44195	0.95349
9.49271	0.95201
9.54347	0.94571
9.59424	0.93463
9.64500	0.91972
9.69576	0.90215
9.74653	0.88361
9.79729	0.86617
9.84805	0.85038
9.89882	0.83753
9.94958	0.82883
10.00034	0.82484
10.00035	0.82669
10.05112	0.82498
10.10188	0.82340
10.15264	0.83261
10.20341	0.85752
10.25417	0.87529
10.30493	0.89465
10.35570	0.91516
10.40646	0.92193
10.45722	0.92919
10.50798	0.92189
10.55875	0.91361
10.60951	0.90562
10.66027	0.89240
10.71104	0.88943
10.76180	0.87289
10.81256	0.85150
10.86333	0.83438
10.91409	0.81204
10.96485	0.79460
11.01561	0.78580
11.06638	0.78275
11.11714	0.79574
11.16790	0.80599
11.21867	0.81983
11.26943	0.84385
11.32019	0.85135
11.37096	0.84218
11.42172	0.82060
11.47248	0.79251
11.52324	0.74893
11.57401	0.69978
11.62477	0.67421
11.67553	0.65137
11.72630	0.63127
11.77706	0.62781
11.82782	0.62692
11.87859	0.63604
11.92935	0.64412
11.98011	0.63212
12.03087	0.58916
12.08164	0.51070
12.13240	0.41413
12.18316	0.31331
12.23393	0.22401
12.28469	0.15657
12.33545	0.10997
12.38622	0.07971
12.43698	0.05902
12.48774	0.04481
12.53850	0.03516
12.58927	0.02780
12.64003	0.02257
12.69079	0.01867
12.74156	0.01595
12.79232	0.01284
12.84308	0.01009
12.89385	0.00932
12.94461	0.00859
12.99537	0.00818
13.04613	0.00799
13.09690	0.00753
13.14766	0.00679
13.19842	0.00602
13.24919	0.00596
13.29995	0.00574
13.35071	0.00540
13.40148	0.00517
13.45224	0.00477
13.50300	0.00438
13.55376	0.00395
13.60453	0.00371
13.65529	0.00324
13.70605	0.00268
13.75682	0.00239
13.80758	0.00224
13.85834	0.00261
13.90911	0.00281
13.95987	0.00260
14.01063	0.00230
14.06139	0.00186
14.11216	0.00182
14.16292	0.00194
14.21368	0.00154
14.26445	0.00135
14.31521	0.00162
14.36597	0.00165
14.41674	0.00143
14.46750	0.00111
14.51826	0.00093
14.56902	0.00095
14.61979	0.00084
14.67055	0.00122
14.72131	0.00149
14.77208	0.00138
14.82284	0.00141
14.87360	0.00133
14.92437	0.00166
14.97513	0.00139
15.02589	0.00101
15.07665	0.00117
15.12742	0.00126
15.17818	0.00130
15.22894	0.00132
15.27971	0.00125
15.33047	0.00132
15.38123	0.00117
15.43200	0.00080
15.48276	0.00107
15.53352	0.00129
15.58428	0.00130
15.63505	0.00142
15.68581	0.00134
15.73657	0.00114
15.78734	0.00113
15.83810	0.00112
15.88886	0.00102
15.93963	0.00106
15.99039	0.00096
16.04115	0.00097
16.09191	0.00129
16.14268	0.00143
16.19344	0.00137
16.24420	0.00147
16.29497	0.00139
16.34573	0.00096
16.39649	0.00125
16.44726	0.00186
16.49802	0.00189
16.54878	0.00166
16.59954	0.00133
16.65031	0.00124
16.70107	0.00131
16.75183	0.00128
16.80260	0.00096
16.85336	0.00076
16.90412	0.00109
16.95489	0.00155
17.00565	0.00140
17.05641	0.00094
17.10717	0.00095
17.15794	0.00114
17.20870	0.00127
17.25946	0.00155
17.31023	0.00157
17.36099	0.00120
17.41175	0.00112
17.46252	0.00081
17.51328	0.00064
17.56404	0.00094
17.61480	0.00105
17.66557	0.00081
17.71633	0.00071
17.76709	0.00111
17.81786	0.00115
17.86862	0.00119
17.91938	0.00113
17.97015	0.00111
18.02091	0.00121
18.07167	0.00108
18.12243	0.00126
18.17320	0.00128
18.22396	0.00126
18.27472	0.00109
18.32549	0.00069
18.37625	0.00085
18.42701	0.00105
18.47778	0.00110
18.52854	0.00110
18.57930	0.00094
18.63006	0.00109
18.68083	0.00118
18.73159	0.00099
18.78235	0.00087
18.83312	0.00088
18.88388	0.00106
18.93464	0.00132
18.98541	0.00141
19.03617	0.00134
19.08693	0.00122
19.13769	0.00106
19.18846	0.00090
19.23922	0.00092
19.28998	0.00090
19.34075	0.00095
19.39151	0.00115
19.44227	0.00108
19.49304	0.00116
19.54380	0.00133
19.59456	0.00121
19.64532	0.00106
19.69609	0.00104
19.74685	0.00109
19.79761	0.00102
19.84838	0.00092
19.89914	0.00118
19.94990	0.00133
20.00067	0.00114
20.05143	0.00119
20.10219	0.00117
20.15295	0.00106
20.20372	0.00104
20.25448	0.00094
20.30524	0.00103
20.35601	0.00113
20.40677	0.00100
20.45753	0.00093
20.50830	0.00090
20.55906	0.00103
20.60982	0.00103
20.66058	0.00078
20.71135	0.00072
20.76211	0.00092
20.81287	0.00107
20.86364	0.00102
20.91440	0.00099
20.96516	0.00092
21.01593	0.00081
21.06669	0.00083
21.11745	0.00079
21.16821	0.00066
21.21898	0.00076
21.26974	0.00095
21.32050	0.00094
21.37127	0.00077
21.42203	0.00059
21.47279	0.00060
21.52356	0.00061
21.57432	0.00049
21.62508	0.00070
21.67584	0.00120
21.72661	0.00112
21.77737	0.00088
21.82813	0.00092
21.87890	0.00078
21.92966	0.00056
21.98042	0.00057
22.03119	0.00093
22.08195	0.00106
22.13271	0.00074
22.18347	0.00064
22.23424	0.00080
22.28500	0.00096
22.33576	0.00101
22.38653	0.00095
22.43729	0.00097
22.48805	0.00104
22.53882	0.00083
22.58958	0.00067
22.64034	0.00098
22.69110	0.00104
22.74187	0.00067
22.79263	0.00079
22.84339	0.00095
22.89416	0.00086
22.94492	0.00083
22.99568	0.00059
23.04645	0.00079
23.09721	0.00084
23.14797	0.00075
23.19873	0.00093
23.24950	0.00088
23.30026	0.00069
23.35102	0.00066
23.40179	0.00105
23.45255	0.00128
23.50331	0.00137
23.55408	0.00156
23.60484	0.00171
23.65560	0.00180
23.70636	0.00196
23.75713	0.00212
23.80789	0.00217
23.85865	0.00213
23.90942	0.00234
23.96018	0.00324
24.01094	0.00459
24.06171	0.00645
24.11247	0.00841
24.16323	0.00990
24.21399	0.01095
24.26476	0.01163
24.31552	0.01231
24.36628	0.01283
24.41705	0.01313
24.46781	0.01308
24.51857	0.01233
24.56934	0.01134
24.62010	0.01037
24.67086	0.00963
24.72162	0.00886
24.77239	0.00801
24.82315	0.00750
24.87391	0.00707
24.92468	0.00662
24.97544	0.00620
25.02620	0.00582
25.07697	0.00594
25.12773	0.00618
25.17849	0.00601
25.22925	0.00615
25.28002	0.00619
25.33078	0.00613
25.38154	0.00644
25.43231	0.00687
25.48307	0.00724
25.53383	0.00735
25.58460	0.00764
25.63536	0.00796
25.68612	0.00817
25.73688	0.00857
25.78765	0.00903
25.83841	0.00941
25.88917	0.00987
25.93994	0.01029
25.99070	0.01074
26.04146	0.01143
26.09223	0.01208
26.14299	0.01265
26.19375	0.01302
26.24451	0.01351
26.29528	0.01402
26.34604	0.01390
26.39680	0.01366
26.44757	0.01369
26.49833	0.01369
26.54909	0.01355
26.59986	0.01335
26.65062	0.01291
26.70138	0.01214
26.75214	0.01146
26.80291	0.01082
26.85367	0.01011
26.90443	0.00904
26.95520	0.00802
27.00596	0.00718
27.05672	0.00626
27.10749	0.00565
27.15825	0.00519
27.20901	0.00475
27.25977	0.00431
27.31054	0.00387
27.36130	0.00372
27.41206	0.00348
27.46283	0.00305
27.51359	0.00296
27.56435	0.00284
