# Graphlite CF Rod thermal conducitivity from Runyan 2008
# [K]		[W/m/K]
3.040e-01 1.828e-03
3.122e-01 1.901e-03
3.215e-01 1.986e-03
3.314e-01 2.077e-03
3.512e-01 2.253e-03
3.628e-01 2.357e-03
3.740e-01 2.469e-03
3.870e-01 2.595e-03
4.004e-01 2.727e-03
4.154e-01 2.845e-03
4.287e-01 2.976e-03
4.457e-01 3.132e-03
4.668e-01 3.342e-03
4.852e-01 3.508e-03
5.008e-01 3.655e-03
5.169e-01 3.811e-03
5.282e-01 3.914e-03
5.483e-01 4.109e-03
5.684e-01 4.307e-03
5.867e-01 4.482e-03
6.056e-01 4.663e-03
6.218e-01 4.799e-03
6.415e-01 5.019e-03
6.619e-01 5.227e-03
7.003e-01 5.507e-03
7.218e-01 5.737e-03
7.479e-01 5.982e-03
7.709e-01 6.212e-03
7.938e-01 6.476e-03
8.192e-01 6.700e-03
8.449e-01 6.940e-03
8.603e-01 7.085e-03
8.913e-01 7.365e-03
9.271e-01 7.699e-03
9.569e-01 7.967e-03
9.877e-01 8.249e-03
1.019e+00 8.534e-03
1.052e+00 8.772e-03
1.091e+00 9.137e-03
1.131e+00 9.505e-03
1.164e+00 9.817e-03
1.196e+00 1.004e-02
1.249e+00 1.049e-02
1.302e+00 1.095e-02
1.344e+00 1.124e-02
1.387e+00 1.162e-02
1.459e+00 1.217e-02
1.547e+00 1.285e-02
1.597e+00 1.323e-02
1.649e+00 1.364e-02
1.713e+00 1.404e-02
1.789e+00 1.459e-02
1.850e+00 1.499e-02
1.909e+00 1.536e-02
1.978e+00 1.580e-02
2.025e+00 1.610e-02
2.115e+00 1.666e-02
2.211e+00 1.721e-02
2.282e+00 1.761e-02
2.355e+00 1.801e-02
2.424e+00 1.838e-02
2.534e+00 1.899e-02
2.650e+00 1.951e-02
2.736e+00 1.992e-02
2.824e+00 2.031e-02
2.910e+00 2.069e-02
3.059e+00 2.135e-02
3.195e+00 2.183e-02
3.298e+00 2.222e-02
3.404e+00 2.259e-02
3.509e+00 2.294e-02
3.693e+00 2.351e-02
3.864e+00 2.403e-02
3.988e+00 2.437e-02
4.116e+00 2.471e-02
4.194e+00 2.488e-02
