T [K]	Cp (J/g*K)
	
77.36	1.12
78.37	1.12
79.73	1.11
81.1	1.11
82.46	1.1
83.83	1.1
85.19	1.1
86.56	1.09
87.92	1.09
89.29	1.09
90.65	1.09
92.02	1.08
93.38	1.08
94.75	1.08
96.11	1.08
97.48	1.07
98.84	1.07
100.2	1.07
101.57	1.07
102.93	1.07
104.3	1.07
105.66	1.07
107.03	1.07
108.39	1.06
109.76	1.06
111.12	1.06
112.49	1.06
113.85	1.06
115.22	1.06
116.58	1.06
117.95	1.06
119.31	1.06
120.68	1.06
122.04	1.06
123.41	1.06
124.77	1.06
126.14	1.05
127.5	1.05
128.87	1.05
130.23	1.05
131.6	1.05
132.96	1.05
134.33	1.05
135.69	1.05
137.06	1.05
138.42	1.05
139.79	1.05
141.15	1.05
142.52	1.05
143.88	1.05
145.25	1.05
146.61	1.05
147.98	1.05
149.34	1.05
150.71	1.05
152.07	1.05
153.44	1.05
154.8	1.05
156.17	1.05
157.53	1.05
158.9	1.05
160.27	1.05
161.63	1.05
163	1.05
164.36	1.05
165.73	1.05
167.09	1.05
168.46	1.05
169.82	1.05
171.19	1.05
172.55	1.05
173.92	1.05
175.28	1.05
176.65	1.05
178.01	1.05
179.38	1.04
180.74	1.04
182.11	1.04
183.47	1.04
184.84	1.04
186.2	1.04
187.57	1.04
188.93	1.04
190.3	1.04
191.66	1.04
193.03	1.04
194.39	1.04
195.76	1.04
197.12	1.04
198.49	1.04
199.85	1.04
201.22	1.04
202.58	1.04
203.95	1.04
205.31	1.04
206.68	1.04
208.04	1.04
209.41	1.04
210.77	1.04
212.14	1.04
213.5	1.04
214.87	1.04
216.23	1.04
217.6	1.04
218.96	1.04
220.33	1.04
221.69	1.04
223.06	1.04
224.42	1.04
225.79	1.04
227.15	1.04
228.52	1.04
229.88	1.04
231.25	1.04
232.61	1.04
233.98	1.04
235.34	1.04
236.71	1.04
238.07	1.04
239.44	1.04
240.8	1.04
242.17	1.04
243.53	1.04
244.9	1.04
246.26	1.04
247.63	1.04
248.99	1.04
250.36	1.04
251.72	1.04
253.09	1.04
254.45	1.04
255.82	1.04
257.18	1.04
258.55	1.04
259.91	1.04
261.28	1.04
262.64	1.04
264.01	1.04
265.37	1.04
266.74	1.04
268.1	1.04
269.47	1.04
270.83	1.04
272.2	1.04
273.56	1.04
274.93	1.04
276.29	1.04
277.66	1.04
279.02	1.04
280.39	1.04
281.75	1.04
283.12	1.04
284.48	1.04
285.85	1.04
287.21	1.04
288.58	1.04
289.94	1.04
291.31	1.04
292.67	1.04
294.04	1.04
295.4	1.04
296.77	1.04
298.13	1.04
299.5	1.04
300.86	1.04
302.23	1.04
303.59	1.04
304.96	1.04
306.32	1.04
307.69	1.04
309.05	1.04
310.42	1.04
311.78	1.04
313.15	1.04
314.51	1.04
315.88	1.04
317.24	1.04
318.61	1.04
319.97	1.04
321.34	1.04
322.7	1.04
324.07	1.04
325.43	1.04
326.8	1.04
328.16	1.04
329.53	1.04
330.89	1.04
332.26	1.04
333.62	1.04
334.99	1.04
336.35	1.04
337.72	1.04
339.08	1.04
340.45	1.04
341.81	1.04
343.18	1.04
344.54	1.04
345.91	1.04
347.27	1.04
348.64	1.04
350	1.04
